year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2018,NIU,dpex,10,0,10,10
2019,NIU,dpex,10,0,10,10
2020,NIU,dpex,10,0,10,10
2018,NMI,dpex,10,0,10,10
2019,NMI,dpex,10,0,10,10
2020,NMI,dpex,10,0,10,10
2017,NPL,dpex,10,0,10,10
2018,NPL,dpex,10,0,10,10
2019,NPL,dpex,10,0,10,10
2020,NPL,dpex,10,0,10,10
2021,NPL,dpex,10,0,10,10
2018,NRU,dpex,10,0,10,10
2019,NRU,dpex,10,0,10,10
2020,NRU,dpex,10,0,10,10
2017,NZL,dpex,10,0,10,10
2018,NZL,dpex,10,0,10,10
2019,NZL,dpex,10,0,10,10
2020,NZL,dpex,10,0,10,10
2021,NZL,dpex,10,0,10,10
2018,PNG,dpex,10,0,10,10
2019,PNG,dpex,10,0,10,10
2020,PNG,dpex,10,0,10,10
2021,PNG,dpex,10,0,10,10
2019,PYF,dpex,10,0,10,10
2020,PYF,dpex,10,0,10,10
2021,PYF,dpex,10,0,10,10
2017,SAU,dpex,4.2532864,1.32774,2.5537791,5.9527936
2018,SAU,dpex,3.2700198,.84824538,2.1842656,4.3557739
2019,SAU,dpex,1.1886451,.66915864,.33212206,2.0451682
2020,SAU,dpex,3.4952002,.55832887,2.7805393,4.2098613
2021,SAU,dpex,1.5086476,.47600862,.89935654,2.1179385
2018,SLB,dpex,10,0,10,10
2019,SLB,dpex,10,0,10,10
2020,SLB,dpex,10,0,10,10
2021,SLB,dpex,10,0,10,10
2018,TON,dpex,10,0,10,10
2019,TON,dpex,10,0,10,10
2020,TON,dpex,10,0,10,10
2021,TON,dpex,10,0,10,10
2019,TUV,dpex,10,0,10,10
2020,TUV,dpex,10,0,10,10
2021,TUV,dpex,10,0,10,10
2019,TWN,dpex,10,0,10,10
2020,TWN,dpex,7.8810067,.084991954,7.7722168,7.9897966
2021,TWN,dpex,7.7848206,.97579122,6.5358076,9.0338335
2017,USA,dpex,7.0721545,.43782192,6.5117426,7.6325665
2018,USA,dpex,5.7187238,.43174428,5.166091,6.2713566
2019,USA,dpex,4.7356181,.33280641,4.3096261,5.1616101
2020,USA,dpex,4.7304235,.34191632,4.2927704,5.1680765
2021,USA,dpex,5.6176105,.50946492,4.9654956,6.2697253
2017,VEN,dpex,10,0,10,10
2018,VEN,dpex,10,0,10,10
2019,VEN,dpex,10,0,10,10
