year,resp_count,country_code,metric_code,mean,sd,lobound_10,upbound_90
2020,21,NZL,vmvpfaff,3.8367379,0.55843264,3.1219442,4.5515318
2020,21,NZL,vwomen,3.6936874,0.5166809,3.032336,4.3550391
2021,12,NZL,climate,2.8333333,1.1934162,,
2021,12,NZL,culture,3.1666667,1.0298573,,
2021,12,NZL,indigland,2.8333333,1.1146408,,
2021,12,NZL,indigsov,2.75,1.0552897,,
2021,12,NZL,vchild,4.2934985,0.56962454,3.5643792,5.0226178
2021,12,NZL,vdisab,4.3409553,0.47402513,3.7342031,4.9477077
2021,12,NZL,vmvpfaff,4.1343174,0.60188925,3.3638992,4.9047356
2021,12,NZL,vwomen,3.4214203,0.52002984,2.7557821,4.0870585
2019,11,PNG,climate,3.6363637,1.361817,,
2019,11,PNG,culture,4.181818,1.5374123,,
2019,11,PNG,indigland,3.3636363,1.361817,,
2019,11,PNG,indigsov,4.2727275,1.2720778,,
2019,11,PNG,vchild,1.9347523,0.64854276,1.1046176,2.7648871
2019,11,PNG,vdisab,2.4309795,0.84023654,1.3554767,3.5064824
2019,11,PNG,vmvpfaff,2.2097623,0.74091268,1.2613941,3.1581306
2019,11,PNG,vwomen,0.99999994,0.5072341,0.35074028,1.6492596
2020,21,PNG,climate,3.9523809,1.2835962,,
2020,21,PNG,culture,5,1.1401755,,
2020,21,PNG,indigland,4.2857141,1.4192554,,
2020,21,PNG,indigsov,3.9523809,1.5644869,,
2020,21,PNG,vchild,2.8220217,0.42659605,2.2759788,3.3680646
2020,21,PNG,vdisab,4.0808625,0.57244915,3.3481276,4.8135972
2020,21,PNG,vmvpfaff,4.0734301,0.69388759,3.1852539,4.961606
2020,21,PNG,vwomen,1.7108523,0.37525558,1.2305251,2.1911795
2021,14,PNG,climate,4.1428571,1.1673206,,
2021,14,PNG,culture,4.7857141,1.3688047,,
2021,14,PNG,indigland,4.8571429,1.0994505,,
2021,14,PNG,indigsov,4.0714288,1.4392458,,
2021,14,PNG,vchild,2.4433689,0.55485445,1.7331553,3.1535826
2021,14,PNG,vdisab,3.2693012,0.75686765,2.3005106,4.2380919
2021,14,PNG,vmvpfaff,2.199228,0.80961585,1.1629198,3.2355363
2021,14,PNG,vwomen,1.2816737,0.73222649,0.34442377,2.2189236
2019,3,PYF,climate,3.6666667,1.1547005,,
2019,3,PYF,culture,4,1.7320508,,
2019,3,PYF,indigland,2.6666667,1.5275252,,
2019,3,PYF,indigsov,3.6666667,2.309401,,
2019,3,PYF,vchild,,,,
2019,3,PYF,vdisab,,,,
2019,3,PYF,vmvpfaff,,,,
2019,3,PYF,vwomen,,,,
2020,6,PYF,climate,3,1.4142135,,
2020,6,PYF,culture,2.3333333,0.51639777,,
2020,6,PYF,indigland,3,1.0954452,,
2020,6,PYF,indigsov,2.6666667,0.51639777,,
2020,6,PYF,vchild,3.7589617,1.4842452,1.8591279,5.6587954
2020,6,PYF,vdisab,5.6339812,1.8401995,3.2785258,7.9894366
2020,6,PYF,vmvpfaff,3.6290584,1.6770358,1.4824525,5.7756643
2020,6,PYF,vwomen,2.2924302,1.3356179,0.58283925,4.0020208
2021,6,PYF,climate,4,0.63245553,,
2021,6,PYF,culture,3,1.2649111,,
2021,6,PYF,indigland,3,1.0954452,,
2021,6,PYF,indigsov,2.3333333,1.0327955,,
2021,6,PYF,vchild,4.4599414,1.2467101,2.8641524,6.0557303
2021,6,PYF,vdisab,4.7318039,1.287804,3.0834148,6.3801932
2021,6,PYF,vmvpfaff,5.2941599,1.2229087,3.7288368,6.8594832
2021,6,PYF,vwomen,3.2478845,0.9625079,2.0158744,4.4798946
2019,5,SLB,climate,4.5999999,1.3416408,,
2019,5,SLB,culture,2.5999999,1.8165902,,
2019,5,SLB,indigland,5,1,,
2019,5,SLB,indigsov,4.1999998,0.44721359,,
2019,5,SLB,vchild,2.5979047,0.94772035,1.3848226,3.8109868
2019,5,SLB,vdisab,3.7878218,1.1043812,2.3742139,5.2014298
