country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
AFG,BasicSanitation,All,2009,33.38186264,65.98910607,0,50.58692961,0,33.38186264,65.98910607, 
AFG,BasicSanitation,All,2010,34.89884567,71.45703133,0,48.83892463,0,34.89884567,71.45703133, 
AFG,BasicSanitation,All,2011,36.42514801,70.11971103,0,51.94708803,0,36.42514801,70.11971103, 
AFG,BasicSanitation,All,2012,37.9608078,74.22771383,0,51.14101707,0,37.9608078,74.22771383, 
AFG,BasicSanitation,All,2013,39.50601578,75.11384072,0,52.59485522,0,39.50601578,75.11384072, 
AFG,BasicSanitation,All,2014,41.06096649,74.81321374,0,54.88464462,0,41.06096649,74.81321374, 
AFG,BasicSanitation,All,2015,42.62602234,74.06780075,0,57.55000406,0,42.62602234,74.06780075, 
AFG,BasicSanitation,All,2016,44.20121765,73.81776103,0,59.87883815,0,44.20121765,73.81776103, 
AFG,BasicSanitation,All,2017,45.78912735,73.84765194,0,62.00485208,0,45.78912735,73.84765194, 
AFG,BasicSanitation,All,2018,47.39066315,73.28951104,0,64.66227223,0,47.39066315,73.28951104, 
AFG,BasicSanitation,All,2019,49.00616837,73.99596235,0,66.22816544,0,49.00616837,73.99596235, 
AFG,Contraception,All,2006,17.5,44.06641581,0,39.71278281,0,20.58823529,51.84284213, 
AFG,Contraception,All,2008,15.19999981,48.2828667,0,31.48114611,0,17.88235272,56.80337259, 
AFG,Contraception,All,2010,19.89999962,56.52388577,0,35.20635453,0,23.41176426,66.49868914, 
AFG,Contraception,All,2011,20.20000076,55.79666602,0,36.20288129,0,23.76470678,65.6431365, 
AFG,Contraception,All,2012,13.80000019,58.03966579,0,23.77684296,0,16.23529434,68.28195975, 
AFG,Contraception,All,2015,19.79999924,57.95184458,0,34.16629683,0,23.29411675,68.17864068, 
AFG,Contraception,All,2016,19.79999924,57.81461038,0,34.24739717,0,23.29411675,68.01718868, 
AFG,FoodSecure,All,2015,54.90000153,65.18822794,0,81.01390873,0,49.32584441,60.88564937, 
AFG,FoodSecure,All,2016,50.40000153,64.99872415,0,72.96468972,0,44.26966464,60.67272376, 
AFG,FoodSecure,All,2017,45.70000076,65.02137832,0,64.23383084,0,38.9887649,60.69817788, 
AFG,FoodSecure,All,2018,42.5,64.59836626,0,58.77044805,0,35.39325843,60.22288344, 
AFG,FoodSecure,All,2019,36.90000153,65.13378199,0,47.84443387,0,29.10112531,60.82447415, 
AFG,FoodSecure,Female,2015,52.20000076,57.90276909,0,88.33855743,0,48.00000085,54.3364101, 
AFG,FoodSecure,Female,2016,47,57.67904934,0,78.06232971,0,42.22222222,54.0878326, 
AFG,FoodSecure,Female,2017,42.09999847,57.70579384,0,67.95905756,0,36.77777608,54.11754872, 
AFG,FoodSecure,Female,2018,33.5,57.20640461,0,50.82312236,0,27.22222222,53.56267179, 
AFG,FoodSecure,Female,2019,28.5,57.83849263,0,39.92752223,0,21.66666667,54.26499181, 
AFG,FoodSecure,Male,2015,57.29999924,57.90276909,0,98.76741161,0,53.66666582,54.3364101, 
AFG,FoodSecure,Male,2016,53.40000153,57.67904934,0,91.20967259,0,49.33333503,54.0878326, 
AFG,FoodSecure,Male,2017,49.20000076,57.70579384,0,82.53638344,0,44.66666751,54.11754872, 
AFG,FoodSecure,Male,2018,44.70000076,57.20640461,0,74.0565513,0,39.66666751,53.56267179, 
AFG,FoodSecure,Male,2019,38.79999924,57.83849263,0,61.01744266,0,33.11111026,54.26499181, 
AFG,NetSecEnrol,All,2007,26.55994987,55.08189797,0,48.21901723,0,26.55994987,55.08189797, 
AFG,NetSecEnrol,All,2013,46.1908989,69.9259879,0,66.05684136,0,46.1908989,69.9259879, 
AFG,NetSecEnrol,All,2014,46.0583992,69.70447329,0,66.07667633,0,46.0583992,69.70447329, 
AFG,NetSecEnrol,All,2015,45.43273163,69.15522161,0,65.69674794,0,45.43273163,69.15522161, 
AFG,NetSecEnrol,All,2016,46.65850067,68.97098181,0,67.64946568,0,46.65850067,68.97098181, 
AFG,NetSecEnrol,All,2017,48.44287872,68.9930067,0,70.21418698,0,48.44287872,68.9930067, 
